codgeo,ze2020,jobs_lt_2022_total
03001,8432,974.26733
83082,9308,2074.92913
44083,5216,946.56237
77268,1106,1997.2094
34320,7616,927.94919
32096,7604,806.43402
31497,7625,294.67388
49113,5220,45.63137
41104,2401,251.72933
35163,5305,539.95525
33554,7505,1603.53413
33164,7514,393.36404
40224,7510,2038.47118
37010,2413,288.74644
34028,7606,2681.75473
79238,7506,194.49436
22197,5317,1442.84988
62170,3215,367.90657
69005,8421,409.70834
24138,7523,2852.59038
83042,9317,4289.06812
93051,1109,28858.81892
77296,1104,10697.98422
53003,5215,1094.76658
94019,1109,5936.68093
11170,7617,1558.47117
01215,8416,22.5761
11266,7617,2159.65387
13070,9312,2153.04853
80186,3220,1569.42319
01382,8434,35.05184
60619,3221,96.04453
12177,7621,213.48282
38320,8405,281.12572
51474,4413,2285.34994
11178,7608,287.78366
79103,7506,547.6524
72023,5212,553.28097
37008,2413,470.87284
40295,7513,333.77742
45104,2409,508.03344
44224,5205,274.3446
34136,7601,172.0988
53213,5211,69.95293
45227,2407,137.99839
40310,7510,2928.1943
38030,8435,223.84807
90088,2705,644.30593
14338,2804,667.31761
30191,7605,240.59453
07240,8431,253.89093
35095,5317,3745.59798
23245,7511,417.1555
78084,1115,71.2766
07157,8422,336.4454
21001,2704,145.85684
21582,2704,416.09967
17230,7526,559.19357
79202,7506,6469.20206
77022,1105,350.94622
59339,3218,3188.71895
35066,5315,5856.35026
27348,2815,781.33285
69019,8434,7312.33446
78206,1114,1876.70881
44061,5217,509.2737
74314,8416,315.13542
03091,8432,119.45562
66037,7620,4074.91849
11371,7608,429.6562
11141,7608,25.70907
14092,2804,1276.84075
05096,9310,623.02237
12090,7621,629.63254
38175,8409,795.24085
02408,3214,16202.54363
94079,1109,5852.58366
35274,5315,174.26059
69066,8430,2323.05155
45293,2409,86.10664
42099,8428,643.62539
42283,8428,135.93059
33417,7505,505.91127
42118,8426,189.51219
31482,7622,41.29964
46064,7607,503.34713
88011,4407,1151.47403
15216,8429,163.20866
02509,3209,14.28428
27693,2808,217.25978
21587,2711,24.4311
23100,7511,324.18676
26177,8427,392.92565
23095,7511,342.04278
56181,5309,631.2525
22307,5316,199.033
26331,8427,332.67956
39219,2706,73.84782
24259,7504,201.7627
50599,2805,499.56645
38004,8435,235.18324
91546,1103,150.58856
03101,8423,3565.83795
31555,7625,353452.34602
12208,7614,3722.50877
49246,5202,4832.14515
41053,2414,106.49359
43153,8428,461.73092
37226,2413,1791.80984
41050,2401,260.24706
40142,7510,117.39749
33542,7516,371.72071
38222,8435,115.47832
53181,5211,515.67576
37267,2413,522.23745
45316,2410,102.9974
34123,7616,2702.2204
39097,2713,4172.84868
06141,9315,31.06527
44223,5216,934.73569
05119,9302,523.37939
09194,7612,1489.19513
13106,9312,2139.65309
12146,7621,341.91518
83058,9308,736.59149
13003,9313,334.74823
63124,8408,10162.10515
13020,9312,192.67254
35171,5315,324.06613
62473,3205,2873.16096
69047,8421,218.96053
62132,3215,2047.91828
49126,5201,3631.59944
62667,3206,2267.67486
69114,8421,658.93091
27375,2815,8458.55532
35196,5315,2553.03695
44089,5216,2063.67122
25494,2715,91.20919
27246,2815,675.985
14708,2804,48.67759
28337,2403,489.43652
29076,5302,1086.07767
17146,7525,923.88189
28410,2404,75.37162
19203,7531,232.06365
23101,7511,66.91391
17196,7528,130.92004
14755,2811,122.75415
12300,7611,6590.8502
11418,7608,197.62664
59515,3222,1978.12288
91665,1113,1843.22664
17434,7512,3864.06589
76481,2813,2089.61538
01363,8405,403.07969
63116,8408,947.56459
80417,3202,284.71804
48094,7613,606.14481
12165,7621,28.1288
38206,8409,111.93604
54498,4412,947.46026
33289,7514,746.29723
34095,7616,1999.56234
41259,2414,292.62443
34204,7616,209.20883
32237,7604,67.26361
36009,2405,329.63575
41078,2414,116.508
31003,7625,171.10022
35049,5317,1891.64273
44067,0062,1437.11715
44036,5205,9824.29378
78545,1115,3524.43366
97305,0301,2266.63333
50425,2805,112.12287
44172,5216,6682.82914
50288,2802,372.88987
25190,2714,364.17672
46170,7619,786.33018
78107,1114,421.17349
23149,7511,269.06592
29247,5313,2501.22003
22207,5308,509.66694
34270,7616,8828.7911
26275,0055,218.28411
29265,5310,331.51941
17202,7528,138.13202
13007,9312,2131.25945
10237,4425,123.86645
02037,3214,211.95092
