codgeo,ze2020,side_stocks_et_2023_total
02057,3220,66
02084,3209,17
02058,3214,77
02082,3209,9
02176,3221,8
02174,3214,40
02030,3220,17
02160,3214,20
02103,3220,66
02169,3214,5
02167,3221,44
02138,3221,11
02105,3209,15
02134,3217,41
02062,3209,7
02149,3220,4
02089,3221,73
02144,3220,8
02040,3217,4
02131,3221,86
02046,3214,25
02056,3220,9
02104,3214,10
02034,3221,4
02041,3220,46
02072,3214,5
02172,3221,19
02180,3214,26
02109,3217,17
02148,3221,12
02191,3214,32
02187,3209,54
02032,3220,13
02087,3221,0
02128,3214,112
02055,3217,5
02094,3209,39
02114,3209,107
02074,3214,22
02078,3221,2
02177,3214,6
02151,3214,15
02192,3221,19
02042,3209,22
02091,3221,6
02143,3220,15
02102,3214,16
02038,3214,3
02186,3209,78
02047,3214,3
02054,3221,30
02100,3220,11
02079,3217,6
02066,3220,8
02106,3214,43
02059,3220,102
02063,3220,24
02190,3221,16
02162,3209,13
02158,3214,46
02184,3214,15
02150,3214,3
02141,3217,111
02060,3220,10
02116,3217,5
02036,3221,3
02140,3221,15
02033,3214,7
02173,3220,763
02050,3217,9
02071,3221,46
02076,3214,11
02189,3214,12
02067,3217,8
02139,3220,14
02142,3220,6
02130,3217,6
02070,3220,21
02119,3209,24
02117,3220,0
02182,3214,2
02126,3214,34
02181,3214,3
02088,3214,2
02178,3214,7
02108,3214,6
02083,3209,43
02044,3214,2
02085,3209,64
02027,3214,13
02171,3214,5
02052,3221,12
02099,3209,17
02145,3220,25
02146,3209,7
02061,3220,10
02053,3209,41
02164,3209,16
02165,3220,79
02121,3209,10
02122,3214,3
02107,3221,1
02097,3214,20
02075,3220,15
02152,3221,5
02155,3214,7
02080,3214,17
02132,3214,14
02133,3214,14
02124,3220,18
02188,3220,4
02129,3221,3
02037,3214,42
02048,3214,7
02051,3209,17
02093,3221,86
02095,3220,248
02110,3221,130
02031,3217,44
02125,3209,14
02039,3214,12
02157,3214,113
02090,3209,9
02115,3221,5
02073,3214,32
06050,9315,98
02068,3214,4
05179,9310,331
06108,9304,790
06084,9304,2037
06066,9315,133
06042,9315,65
06035,9314,89
02118,3221,2
34190,7617,19
06046,9315,476
06109,9315,84
06012,9314,1271
06130,9304,463
06129,9315,25
34244,7616,343
34119,7606,163
19170,7531,18
34101,7601,386
19150,7507,27
19063,7507,191
34141,7608,47
34140,7606,309
34113,7616,660
19059,7507,22
19143,0063,27
34214,7606,105
19097,7531,6
34138,7616,31
19130,0063,17
19081,7531,53
19141,0063,2
19079,7531,36
19159,0063,3
19165,7531,3
19062,7531,109
11429,7608,312
19119,7531,14
19140,7531,62
19138,7507,153
19084,7531,24
19209,7531,14
19060,7531,35
19122,7531,14
11419,7612,3
19216,7517,15
19217,7507,10
19212,7531,2
19083,0063,12
19077,7507,13
19173,7531,16
19201,0063,27
19126,7507,18
19136,0063,223
19132,7531,8
19116,7531,19
19114,0063,11
19117,7507,70
19166,7531,4
19110,0063,7
19105,7507,28
19070,0063,17
19139,0063,9
19085,7531,68
19179,7507,17
12048,7621,35
19115,7507,22
19061,7531,63
19174,7531,13
12050,7621,36
19068,7507,37
19161,7507,40
11408,7608,29
19137,7531,10
12008,7621,49
12069,7614,24
12044,7614,121
02246,3220,21
12088,7621,27
12046,7621,22
12030,7611,26
12034,7611,15
02218,3214,34
12080,7602,51
12041,7621,24
11426,7608,76
12047,7621,30
11401,7617,72
11434,7608,84
12024,7621,13
12077,7614,54
12066,7621,76
12001,7621,70
12070,7614,42
12089,7611,461
12022,7614,3
12075,7602,14
12009,7614,4
12078,7614,9
11423,7608,22
12039,7614,27
11437,7608,58
12062,7614,22
11379,7617,463
12031,7621,24
12060,7621,6
12073,7621,41
12032,7621,39
12079,7621,38
07023,8402,72
02185,3209,19
12072,7614,26
11381,7608,13
12015,7621,28
12026,7621,65
12045,7621,26
12085,7621,13
02226,3221,64
11383,7608,25
12067,7614,9
34255,7616,1393
34108,7623,2121
11376,7608,6
34132,7616,12
02183,3214,1
34183,7606,358
19135,0063,14
34200,7606,15
34178,7606,252
34180,7616,139
34228,7606,5
34103,7616,86
34105,7606,23
34116,7616,912
34142,7616,741
34252,7606,15
34166,7606,261
34117,7606,35
34249,7616,330
34124,7616,30
34110,7616,67
34199,7601,1503
34256,7616,231
34247,7616,691
34194,7616,343
02235,3214,5
34148,7606,373
34196,7616,10
34241,7616,68
02257,3220,24
02198,3221,6
34136,7601,102
34122,7616,37
34188,7616,13
34146,7616,548
34112,7616,27
34233,7616,7
34251,7616,36
34217,7616,579
34219,7606,47
34173,7616,161
34174,7603,64
34149,7606,56
34187,7606,88
34128,7616,145
34179,7616,184
34221,7616,57
34153,7616,191
07090,8402,78
34213,7623,728
34238,7616,9
34232,7606,70
34129,7616,3051
34259,7616,591
34135,7606,273
34121,7616,22
02210,3221,13
11435,7608,18
07012,8420,20
02292,3209,76
12101,7611,66
02242,3209,20
07034,0055,18
02253,3221,15
02275,3217,6
02278,3217,3
02209,3209,60
11427,7608,41
11398,7617,24
07044,8433,23
02298,3220,52
12064,7621,18
02317,3220,8
02362,3220,7
02243,3221,169
02205,3214,11
02322,3220,16
02350,3214,4
02357,3217,2
02214,3220,1
02339,3209,32
02319,3220,20
