ZE2020,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
4404,134127.0,133921.0,133607.0,132637.0,131939.0,130906.0,130131.0,129192.0,128527.0,127645.0,127149.0,125904.0,125144.0,124307.0,123745.0,123103.0,122367.0,120929.0
4405,200608.0,202473.0,203577.0,204242.0,204798.0,204698.0,204398.0,205294.0,206613.0,208795.0,208915.0,208541.0,208444.0,208794.0,208634.0,208524.0,208780.0,208841.0
4406,86774.0,87106.0,87409.0,87319.0,87168.0,87040.0,86720.0,86553.0,86287.0,86252.0,85966.0,85037.0,84264.0,84095.0,83740.0,83018.0,82685.0,82470.0
4407,190897.0,190819.0,190715.0,190885.0,191183.0,191269.0,191087.0,190611.0,189952.0,189362.0,188296.0,187426.0,186946.0,186285.0,185052.0,184570.0,183701.0,183328.0
4408,115941.0,115243.0,114494.0,114309.0,113586.0,112818.0,112414.0,112216.0,111232.0,110686.0,110106.0,109124.0,108635.0,108068.0,107714.0,107098.0,106534.0,105612.0
4409,246924.0,248397.0,250070.0,250678.0,251013.0,251903.0,252062.0,252424.0,252744.0,252725.0,252723.0,252876.0,253354.0,253942.0,254492.0,255038.0,255675.0,256519.0
4410,436164.0,436952.0,437784.0,438240.0,438207.0,438045.0,437963.0,437909.0,437085.0,437430.0,439118.0,438623.0,439356.0,442202.0,445263.0,446360.0,447873.0,450471.0
4411,427047.0,430187.0,431795.0,432662.0,432129.0,434760.0,436662.0,438784.0,437839.0,437549.0,437053.0,437870.0,438013.0,438408.0,438304.0,437167.0,437188.0,438900.0
4412,556083.0,556384.0,558831.0,559121.0,559754.0,560664.0,561060.0,558868.0,559637.0,561313.0,560081.0,559610.0,558966.0,558782.0,557067.0,556765.0,556837.0,555513.0
4413,320586.0,321207.0,320430.0,320626.0,320565.0,321767.0,323762.0,324993.0,326220.0,328089.0,328075.0,328470.0,329317.0,329516.0,330198.0,330473.0,330859.0,331264.0
4414,91311.0,91218.0,91111.0,91083.0,90661.0,90083.0,89410.0,88839.0,88501.0,88157.0,87600.0,87018.0,86330.0,85937.0,85647.0,85063.0,84459.0,83885.0
4415,81580.0,82013.0,82114.0,83014.0,83363.0,83968.0,84554.0,85002.0,85010.0,85244.0,84922.0,84642.0,84196.0,84139.0,84049.0,83877.0,83573.0,83275.0
4416,127793.0,127832.0,128280.0,128545.0,129012.0,128985.0,128919.0,128380.0,127928.0,127490.0,126773.0,126226.0,125701.0,125311.0,124551.0,123825.0,122928.0,122125.0
4417,92955.0,93528.0,93611.0,93581.0,93465.0,93125.0,92586.0,91596.0,91126.0,90586.0,89781.0,89242.0,88793.0,88225.0,87621.0,87040.0,86575.0,86149.0
4418,97695.0,98612.0,99622.0,100691.0,101947.0,102878.0,103499.0,104066.0,105198.0,105802.0,106393.0,107268.0,108248.0,109661.0,110759.0,111307.0,111904.0,113192.0
4419,115138.0,115804.0,116338.0,116746.0,116749.0,116168.0,115819.0,115153.0,114521.0,113771.0,112837.0,112534.0,112339.0,112058.0,111429.0,111228.0,110733.0,110481.0
4420,129505.0,129825.0,130413.0,130624.0,130233.0,130087.0,129884.0,129526.0,129137.0,128831.0,128302.0,127631.0,127021.0,126191.0,125356.0,124660.0,123855.0,123352.0
4421,103317.0,103317.0,103123.0,102811.0,102438.0,102133.0,101570.0,100769.0,100083.0,99101.0,98040.0,96890.0,96021.0,95487.0,95198.0,94816.0,94245.0,93767.0
4422,99507.0,100457.0,101462.0,102377.0,102635.0,102747.0,103343.0,103785.0,104427.0,104457.0,104464.0,104652.0,104759.0,104742.0,104853.0,105121.0,105483.0,105564.0
4423,690637.0,693857.0,697134.0,698796.0,699501.0,702136.0,706767.0,710953.0,713611.0,717738.0,722657.0,726584.0,734058.0,739999.0,747508.0,751369.0,754828.0,760726.0
4424,337483.0,339892.0,342407.0,345128.0,346631.0,348136.0,350320.0,352298.0,353791.0,354969.0,357244.0,358470.0,360041.0,362628.0,364992.0,366949.0,369014.0,370176.0
