codgeo,ze2020,bpe_facilities_2023_total
02448,3214,2.0
02449,3221,1.0
02450,3220,14.0
02451,3220,4.0
02452,3220,6.0
02453,3214,9.0
02454,3214,10.0
02455,3220,5.0
02456,3220,8.0
02457,3214,4.0
02458,3209,23.0
02459,3220,4.0
02460,3214,4.0
02461,3220,13.0
02462,3209,3.0
02463,3214,2.0
02464,3221,12.0
02465,3209,14.0
02466,3221,6.0
02467,3221,1.0
02468,3214,96.0
02469,3220,29.0
02470,3217,8.0
02471,3214,1.0
02472,3214,12.0
02473,3220,3.0
02474,3220,9.0
02476,3220,21.0
02477,3221,37.0
02478,3214,7.0
02480,3214,10.0
02481,3220,18.0
02482,3214,1.0
02483,3220,16.0
02484,3209,16.0
02485,3221,4.0
02486,3214,3.0
02487,3221,14.0
02488,3220,1.0
02489,3214,3.0
