ze2020,libze2020,communes_count,zan_naf09art24_total,zan_art09act24_total,zan_art09hab24_total,zan_art09mix24_total,zan_art09inc24_total,zan_art09rou24_total,zan_art09fer24_total,zan_artcom0924_total,zan_pop15_total,zan_pop21_total,zan_men15_total,zan_men21_total,zan_emp15_total,zan_emp21_total,zan_surfcom2024_total,zan_artif_per_pop21,zan_artif_per_surface
4403,Charleville-Mézières,180,12410116.0,1665183.0,6015333.0,194883.0,3132039.0,1402517.0,161.0,146.34,160963.0,155376.0,71139.0,70769.0,57892.0,56825.0,2072732302.0,79.871512,0.005987
4404,Chaumont,365,8355455.0,2153269.0,4884601.0,81075.0,778097.0,369541.0,88872.0,53.15,127340.0,122789.0,59203.0,59190.0,51161.0,49369.0,5382058768.0,68.04726,0.001552
4405,Colmar,100,7195817.0,2399274.0,3729506.0,348388.0,149146.0,568104.0,1399.0,66.71,208795.0,208524.0,90403.0,94306.0,87631.0,89411.0,1196810434.0,34.50834,0.006012
4406,Épernay,113,4150761.0,1428863.0,2170218.0,72382.0,298170.0,179825.0,1303.0,39.53,86252.0,83018.0,38407.0,38435.0,37137.0,36112.0,1333422242.0,49.998326,0.003113
4407,Épinal,328,11669391.0,3698671.0,6822999.0,274280.0,314716.0,558725.0,0.0,116.61,189362.0,184570.0,84481.0,85747.0,72016.0,71856.0,3241623099.0,63.224744,0.0036
4408,Forbach,30,3471003.0,1291300.0,1498196.0,35381.0,223264.0,418454.0,4408.0,51.39,110686.0,107098.0,47557.0,47283.0,27717.0,26930.0,206121023.0,32.409597,0.01684
4409,Haguenau,164,10804775.0,3132622.0,6229578.0,410888.0,190523.0,841001.0,163.0,140.76,252725.0,255038.0,103855.0,109670.0,90144.0,90939.0,1635103693.0,42.365353,0.006608
4410,Metz,246,15319715.0,4581778.0,7784918.0,263846.0,315966.0,1840096.0,533111.0,208.65,437430.0,446360.0,192309.0,205147.0,175446.0,180051.0,1925557575.0,34.321433,0.007956
4411,Mulhouse,170,14308231.0,5667246.0,6788699.0,383040.0,483541.0,982393.0,3312.0,154.45,437549.0,437167.0,186223.0,192648.0,159560.0,160563.0,1602101208.0,32.72944,0.008931
4412,Nancy,445,18264469.0,5123738.0,9455370.0,248445.0,1456167.0,1482623.0,498126.0,223.49,561313.0,556765.0,253973.0,262306.0,221764.0,223098.0,4071003364.0,32.804629,0.004486
4413,Reims,225,13374434.0,4464902.0,5992853.0,216876.0,825311.0,1832844.0,41648.0,148.16,328089.0,330473.0,150697.0,155972.0,137261.0,142610.0,2474378799.0,40.47058,0.005405
4414,Remiremont,49,5708929.0,1181055.0,3815473.0,146357.0,48062.0,517982.0,0.0,25.57,88157.0,85063.0,40492.0,40806.0,32651.0,32316.0,1067566297.0,67.114127,0.005348
4415,Romilly-sur-Seine,170,5644954.0,1472342.0,2566457.0,53792.0,1395215.0,155156.0,1992.0,33.9,85244.0,83877.0,37121.0,37461.0,28018.0,27376.0,2488033154.0,67.30038,0.002269
4416,Saint-Avold,131,7479769.0,2201659.0,3500821.0,115712.0,218565.0,572229.0,870783.0,81.97,127490.0,123825.0,54787.0,54701.0,40286.0,37968.0,1019368240.0,60.405968,0.007338
4417,Saint-Dié-des-Vosges,110,4190003.0,1006415.0,2516352.0,112011.0,264588.0,290637.0,0.0,33.26,90586.0,87040.0,41048.0,41322.0,29277.0,27743.0,1297054145.0,48.138821,0.00323
4418,Saint-Louis,91,6083358.0,1838723.0,3428361.0,188158.0,152446.0,475670.0,0.0,84.87,105802.0,111307.0,45887.0,49268.0,29447.0,29574.0,616738176.0,54.653867,0.009864
4419,Sarrebourg,215,8518512.0,1900572.0,3546797.0,109818.0,536201.0,640010.0,1785114.0,110.02,113771.0,111228.0,48613.0,49618.0,43813.0,42729.0,2067254914.0,76.586039,0.004121
4420,Sarreguemines,141,5461130.0,1930166.0,2922727.0,146823.0,149140.0,310522.0,1752.0,61.52,128831.0,124660.0,55091.0,55577.0,44798.0,44093.0,1412317138.0,43.808198,0.003867
4421,Sedan,245,5240034.0,1217848.0,3072318.0,27611.0,723229.0,199028.0,0.0,46.29,99085.0,94804.0,43839.0,43629.0,31183.0,29254.0,2734891124.0,55.272288,0.001916
4422,Sélestat,72,3943379.0,982710.0,2404643.0,187511.0,25498.0,343016.0,1.0,39.23,104457.0,105121.0,43559.0,45375.0,35351.0,36138.0,788648884.0,37.512761,0.005
4423,Strasbourg,213,17635872.0,5500889.0,8444338.0,680878.0,634106.0,2123343.0,252318.0,218.52,717738.0,751369.0,317777.0,343193.0,321126.0,342576.0,1842949921.0,23.471652,0.009569
