selected_strategy,ze2020,libze2020,actual_sum,persistence_abs_error,model_abs_error,abs_error_reduction_vs_persistence,persistence_wmape,model_wmape,wmape_delta_vs_persistence
fixed_huber_absolute_sitadel_energy_lambda_0_5,2409,Montargis,6843.0,806.0,658.722513189809,147.27748681019102,11.77845973988017,9.626224071164826,2.1522356687153437
fixed_huber_absolute_sitadel_energy_lambda_0_5,2410,Orléans,25676.0,2092.0,2301.08364849777,-209.0836484977699,8.147686555538245,8.962002058333736,-0.8143155027954911
fixed_huber_absolute_sitadel_energy_lambda_0_5,2411,Pithiviers,3100.0,273.0,182.98800883324873,90.01199116675127,8.806451612903226,5.902838994620926,2.9036126182823
fixed_huber_absolute_sitadel_energy_lambda_0_5,2412,Romorantin-Lanthenay,4232.0,404.0,383.5097128195232,20.4902871804768,9.546313799621927,9.062138771727863,0.4841750278940644
fixed_huber_absolute_sitadel_energy_lambda_0_5,2413,Tours,32104.0,3255.0,3556.408312460053,-301.4083124600529,10.138923498629454,11.07777321349381,-0.9388497148643555
fixed_huber_absolute_sitadel_energy_lambda_0_5,2414,Vendôme,2950.0,287.0,275.9173326438374,11.082667356162574,9.728813559322035,9.353129920130081,0.37568363919195313
fixed_huber_absolute_sitadel_energy_lambda_0_5,2415,Vierzon,2145.0,239.0,294.8281002140715,-55.828100214071526,11.142191142191143,13.744899776879791,-2.602708634688648
fixed_huber_absolute_sitadel_energy_lambda_0_5,2701,Autun,1855.0,93.0,38.95381191794746,54.04618808205254,5.013477088948787,2.099935952449998,2.913541136498789
fixed_huber_absolute_sitadel_energy_lambda_0_5,2702,Auxerre,8950.0,654.0,729.3442928675984,-75.34429286759837,7.307262569832402,8.149098244330707,-0.8418356744983049
fixed_huber_absolute_sitadel_energy_lambda_0_5,2703,Avallon,2468.0,272.0,248.93284808551073,23.067151914489273,11.021069692058347,10.08642010070951,0.9346495913488369
fixed_huber_absolute_sitadel_energy_lambda_0_5,2704,Beaune,4708.0,493.0,473.5678438525913,19.432156147408705,10.471537807986406,10.058790226265746,0.4127475817206605
fixed_huber_absolute_sitadel_energy_lambda_0_5,2705,Belfort,8883.0,570.0,633.681526566284,-63.68152656628399,6.416751097602161,7.133643212498976,-0.7168921148968153
fixed_huber_absolute_sitadel_energy_lambda_0_5,2706,Besançon,16824.0,1091.0,1295.1707883659133,-204.17078836591327,6.4847836424155965,7.698352284628586,-1.2135686422129899
fixed_huber_absolute_sitadel_energy_lambda_0_5,2707,Chalon-sur-Saône,8365.0,559.0,580.6124308737824,-21.612430873782387,6.682606096832039,6.940973471294469,-0.25836737446242974
fixed_huber_absolute_sitadel_energy_lambda_0_5,2708,Charolais,3992.0,362.0,421.0823971958139,-59.08239719581388,9.06813627254509,10.548156242380108,-1.480019969835018
fixed_huber_absolute_sitadel_energy_lambda_0_5,2709,Châtillon-Montbard,2789.0,200.0,153.1497653170518,46.85023468294821,7.171029042667623,5.491207074831546,1.6798219678360775
fixed_huber_absolute_sitadel_energy_lambda_0_5,2710,Creusot-Montceau,4012.0,207.0,166.6986897762838,40.3013102237162,5.1595214356929215,4.1550022376940134,1.004519197998908
