year_month,ze2020,target_proxy_establishment_creations_count
2011-04,7525,147
2011-04,7526,345
2011-04,7527,127
2011-04,7528,174
2011-04,7529,171
2011-04,7530,69
2011-04,7531,111
2011-04,7532,138
2011-04,7601,318
2011-04,7602,377
2011-04,7603,368
2011-04,7604,242
2011-04,7605,108
2011-04,7606,448
2011-04,7607,165
2011-04,7608,336
2011-04,7609,102
2011-04,7610,221
2011-04,7611,119
2011-04,7612,232
2011-04,7613,138
2011-04,7614,112
2011-04,7615,299
2011-04,7616,1628
2011-04,7617,346
2011-04,7618,636
2011-04,7619,108
2011-04,7620,1146
2011-04,7621,197
2011-04,7622,190
2011-04,7623,223
2011-04,7624,380
2011-04,7625,2226
2011-04,8401,556
2011-04,8402,290
2011-04,8403,110
2011-04,8404,83
2011-04,8405,293
2011-04,8406,338
2011-04,8407,352
2011-04,8408,562
2011-04,8409,871
2011-04,8410,96
2011-04,8411,71
2011-04,8412,121
2011-04,8413,263
2011-04,8414,133
2011-04,8415,175
2011-04,8416,391
2011-04,8417,97
2011-04,8418,164
2011-04,8419,163
2011-04,8420,135
2011-04,8421,1901
2011-04,8422,199
2011-04,8423,120
2011-04,8424,104
2011-04,8425,50
2011-04,8426,198
2011-04,8427,134
2011-04,8428,726
2011-04,8429,71
2011-04,8430,59
2011-04,8431,452
2011-04,8432,189
2011-04,8433,351
2011-04,8434,254
2011-04,8435,273
2011-04,9301,822
2011-04,9302,69
2011-04,9303,259
2011-04,9304,1216
2011-04,9305,211
2011-04,9306,276
2011-04,9307,153
2011-04,9308,244
2011-04,9309,338
2011-04,9310,170
2011-04,9311,198
2011-04,9312,650
2011-04,9313,444
2011-04,9314,164
2011-04,9315,1489
2011-04,9316,115
2011-04,9317,319
2011-04,9318,1187
2011-05,0051,127
2011-05,0052,229
2011-05,0053,483
2011-05,0054,253
2011-05,0055,107
2011-05,0056,67
2011-05,0057,150
2011-05,0058,80
2011-05,0059,156
2011-05,0060,140
2011-05,0061,60
2011-05,0062,78
2011-05,0063,109
2011-05,0064,128
2011-05,1101,648
2011-05,1102,78
2011-05,1103,109
2011-05,1104,600
2011-05,1105,246
2011-05,1106,493
2011-05,1107,208
2011-05,1108,205
2011-05,1109,5952
2011-05,1110,44
2011-05,1111,85
2011-05,1112,894
2011-05,1113,518
2011-05,1114,840
2011-05,1115,718
2011-05,2401,180
2011-05,2402,214
2011-05,2403,202
2011-05,2404,38
2011-05,2405,194
2011-05,2406,52
2011-05,2407,83
2011-05,2408,48
2011-05,2409,124
2011-05,2410,452
2011-05,2411,62
2011-05,2412,101
2011-05,2413,549
2011-05,2414,77
2011-05,2415,39
2011-05,2701,43
2011-05,2702,190
2011-05,2703,47
2011-05,2704,106
2011-05,2705,178
2011-05,2706,358
2011-05,2707,173
2011-05,2708,68
2011-05,2709,54
2011-05,2710,78
2011-05,2711,466
2011-05,2712,93
2011-05,2713,160
2011-05,2714,100
2011-05,2715,114
2011-05,2716,47
2011-05,2717,100
2011-05,2718,109
2011-05,2801,46
2011-05,2802,81
2011-05,2803,82
2011-05,2804,636
2011-05,2805,160
2011-05,2806,56
2011-05,2807,137
2011-05,2808,191
2011-05,2809,75
2011-05,2810,56
2011-05,2811,137
2011-05,2812,47
2011-05,2813,214
2011-05,2814,80
2011-05,2815,688
2011-05,2816,99
2011-05,2817,146
2011-05,2818,31
2011-05,2819,77
2011-05,3201,83
2011-05,3202,312
2011-05,3203,168
2011-05,3204,120
2011-05,3205,197
2011-05,3206,148
2011-05,3207,140
2011-05,3208,111
2011-05,3209,58
2011-05,3210,181
2011-05,3211,258
2011-05,3212,199
2011-05,3213,207
2011-05,3214,105
2011-05,3215,299
2011-05,3216,1029
2011-05,3217,149
2011-05,3218,406
2011-05,3219,124
2011-05,3220,204
2011-05,3221,142
2011-05,3222,294
2011-05,4401,56
2011-05,4402,83
2011-05,4403,160
2011-05,4404,105
2011-05,4405,224
2011-05,4406,107
2011-05,4407,180
2011-05,4408,98
2011-05,4409,204
2011-05,4410,505
2011-05,4411,478
2011-05,4412,522
2011-05,4413,435
2011-05,4414,100
2011-05,4415,84
2011-05,4416,101
2011-05,4417,96
2011-05,4418,66
2011-05,4419,119
2011-05,4420,114
2011-05,4421,59
2011-05,4422,101
2011-05,4423,874
2011-05,4424,228
2011-05,4425,275
2011-05,4426,70
2011-05,4427,92
2011-05,5201,80
2011-05,5202,418
2011-05,5203,208
2011-05,5204,32
2011-05,5205,39
2011-05,5206,152
2011-05,5207,128
2011-05,5208,61
2011-05,5209,57
2011-05,5210,157
2011-05,5211,149
2011-05,5212,304
2011-05,5213,116
2011-05,5214,118
2011-05,5215,67
2011-05,5216,1153
2011-05,5217,100
2011-05,5218,53
2011-05,5219,327
2011-05,5220,108
2011-05,5221,38
2011-05,5301,139
2011-05,5302,347
2011-05,5303,80
2011-05,5304,93
2011-05,5305,58
2011-05,5306,46
2011-05,5307,81
2011-05,5308,149
2011-05,5309,272
2011-05,5310,132
2011-05,5311,63
2011-05,5312,110
2011-05,5313,336
2011-05,5314,56
2011-05,5315,768
2011-05,5316,195
2011-05,5317,192
2011-05,5318,302
2011-05,5319,71
2011-05,7501,191
2011-05,7502,257
2011-05,7503,619
2011-05,7504,141
2011-05,7505,1769
2011-05,7506,106
2011-05,7507,178
