ZE2020,graph_source,self_weight,top1_ze,top1_name,top1_weight,top2_ze,top2_name,top2_weight,top3_ze,top3_name,top3_weight,total_outflow,top3_concentration,graph_dependency_high,learned_adj_status,libze2020,opportunity_score,risk_score,risk_graph_component
7606,mobility_prior,0.0,7601,Agde-Pézenas,0.3113347541544137,7616,Montpellier,0.2763816121262204,7617,Narbonne,0.1831368806292971,0.9999999999999942,0.7708532469099357,True,pending,Béziers,53.92857142857142,68.21428571428572,0.6214285714285714
7607,mobility_prior,0.0,7615,Montauban,0.1770389779703141,7619,Nord-du-Lot,0.1603595325557041,7625,Toulouse,0.1296260873275974,0.9999999999999963,0.46702459785361733,False,pending,Cahors,20.714285714285715,58.57142857142858,0.05357142857142857
7608,mobility_prior,0.0,7625,Toulouse,0.4181192152984483,7617,Narbonne,0.2458998794159562,7610,Castres-Mazamet,0.0594067331284864,0.9999999999999952,0.7234258278428943,True,pending,Carcassonne-Limoux,63.21428571428571,38.92857142857143,0.49642857142857144
7609,mobility_prior,0.0,7615,Montauban,0.425062744089569,7625,Toulouse,0.2264394090483333,7501,Agen,0.1829746689912628,0.9999999999999961,0.8344768221291683,True,pending,Castelsarrasin-Moissac,35.714285714285715,48.214285714285715,0.7857142857142857
7610,mobility_prior,0.0,7625,Toulouse,0.4343899939018149,7602,Albi,0.3437185330535594,7608,Carcassonne-Limoux,0.0580126649405308,0.9999999999999953,0.8361211918959089,True,pending,Castres-Mazamet,44.285714285714285,83.92857142857143,0.7928571428571428
7611,mobility_prior,0.0,7621,Rodez,0.4205902405718436,7619,Nord-du-Lot,0.1912773407451331,7607,Cahors,0.1024454032356412,0.9999999999999971,0.71431298455262,True,pending,Figeac-Villefranche,18.571428571428573,27.142857142857142,0.4785714285714286
7612,mobility_prior,0.0,7625,Toulouse,0.7181625493506903,7608,Carcassonne-Limoux,0.0853642279715512,7622,Saint-Gaudens,0.0841232432732008,0.9999999999999969,0.8876500205954451,True,pending,Foix-Pamiers,31.428571428571427,79.28571428571428,0.9214285714285714
7613,mobility_prior,0.0,8429,Saint-Flour,0.1812396770831216,7621,Rodez,0.1302752634340425,8419,Le Puy-en-Velay,0.1151749054247995,0.9999999999999962,0.4266898459419652,False,pending,Mende,19.642857142857142,30.0,0.03214285714285714
7614,mobility_prior,0.0,7621,Rodez,0.3069900678368071,7613,Mende,0.2028867529478911,7616,Montpellier,0.1587443035992499,0.9999999999999971,0.66862112438395,True,pending,Millau,21.428571428571427,37.857142857142854,0.3821428571428571
7615,mobility_prior,0.0,7625,Toulouse,0.697177232520561,7609,Castelsarrasin-Moissac,0.1485389275483008,7602,Albi,0.0342872341692916,0.9999999999999942,0.8800033942381584,True,pending,Montauban,73.21428571428571,35.0,0.8928571428571429
7616,mobility_prior,0.0,7618,Nîmes,0.3126992816731477,7623,Sète,0.1717481429928551,7606,Béziers,0.1175456724755181,0.9999999999999913,0.601993097141526,True,pending,Montpellier,68.21428571428572,31.071428571428573,0.21785714285714286
7617,mobility_prior,0.0,7606,Béziers,0.3054284060568508,7608,Carcassonne-Limoux,0.2420414902644191,7620,Perpignan,0.1676313817590285,0.9999999999999948,0.7151012780803021,True,pending,Narbonne,43.214285714285715,75.35714285714286,0.48214285714285715
7618,mobility_prior,0.0,7616,Montpellier,0.4348376214955903,52,Arles,0.1449986034120076,7603,Alès-Le Vigan,0.115393787200235,0.9999999999999928,0.6952300121078379,True,pending,Nîmes,76.78571428571429,44.642857142857146,0.4357142857142857
7619,mobility_prior,0.0,7507,Brive-la-Gaillarde,0.2370770337866939,7607,Cahors,0.2109782095880491,7611,Figeac-Villefranche,0.1729433780651499,0.9999999999999968,0.6209986214398949,True,pending,Nord-du-Lot,2.5,85.0,0.25357142857142856
7620,mobility_prior,0.0,7617,Narbonne,0.2164850895361605,7625,Toulouse,0.1262747426346609,7616,Montpellier,0.1141169568318855,0.9999999999999918,0.45687678900271067,False,pending,Perpignan,42.142857142857146,50.0,0.04642857142857143
7621,mobility_prior,0.0,7611,Figeac-Villefranche,0.3470303315212848,7602,Albi,0.1544970591011057,7614,Millau,0.13878559546322,0.9999999999999967,0.6403129860856126,True,pending,Rodez,62.857142857142854,27.500000000000004,0.33214285714285713
7622,mobility_prior,0.0,7625,Toulouse,0.6851437676876296,7624,Tarbes-Lourdes,0.1279244900264147,7612,Foix-Pamiers,0.0668282720262716,0.9999999999999963,0.8798965297403192,True,pending,Saint-Gaudens,42.857142857142854,65.71428571428571,0.8892857142857142
7623,mobility_prior,0.0,7616,Montpellier,0.7755838407545069,7601,Agde-Pézenas,0.0693753059078062,7606,Béziers,0.0653715133433953,0.9999999999999961,0.910330660005712,True,pending,Sète,64.28571428571429,35.35714285714286,0.9678571428571429
