zone_id,target_year,a10,jobs,jobs_suppressed
CR05,2017,LZ,0.4,0
CR05,2017,MN,6.9,0
CR05,2017,OPQ,14.7,0
CR05,2017,RSU,1.9,0
CR05,2018,A,0.8,0
CR05,2018,BE,8.0,0
CR05,2018,FZ,2.0,0
CR05,2018,GI,15.3,0
CR05,2018,JZ,0.6,0
CR05,2018,KZ,0.8,0
CR05,2018,LZ,0.3,0
CR05,2018,MN,6.7,0
CR05,2018,OPQ,15.3,0
CR05,2018,RSU,1.9,0
CR05,2019,A,0.8,0
CR05,2019,BE,8.3,0
CR05,2019,FZ,2.2,0
CR05,2019,GI,15.3,0
CR05,2019,JZ,0.5,0
CR05,2019,KZ,0.8,0
CR05,2019,LZ,0.3,0
CR05,2019,MN,6.2,0
CR05,2019,OPQ,15.5,0
CR05,2019,RSU,2.5,0
CR05,2020,A,0.8,0
CR05,2020,BE,8.2,0
CR05,2020,FZ,2.1,0
CR05,2020,GI,14.7,0
CR05,2020,JZ,0.5,0
CR05,2020,KZ,0.8,0
CR05,2020,LZ,0.3,0
CR05,2020,MN,6.3,0
CR05,2020,OPQ,15.4,0
CR05,2020,RSU,2.4,0
CR05,2021,A,0.8,0
CR05,2021,BE,8.4,0
CR05,2021,FZ,2.1,0
CR05,2021,GI,15.1,0
CR05,2021,JZ,0.5,0
CR05,2021,KZ,0.8,0
CR05,2021,LZ,0.2,0
CR05,2021,MN,6.5,0
CR05,2021,OPQ,15.9,0
CR05,2021,RSU,2.4,0
CR05,2022,A,0.7,0
CR05,2022,BE,8.3,0
CR05,2022,FZ,2.3,0
CR05,2022,GI,16.0,0
CR05,2022,JZ,0.5,0
CR05,2022,KZ,1.0,0
CR05,2022,LZ,0.2,0
CR05,2022,MN,6.4,0
CR05,2022,OPQ,16.4,0
CR05,2022,RSU,1.9,0
CR05,2023,A,0.7,0
CR05,2023,BE,8.4,0
CR05,2023,FZ,2.3,0
CR05,2023,GI,15.6,0
CR05,2023,JZ,0.5,0
CR05,2023,KZ,0.8,0
CR05,2023,LZ,0.3,0
CR05,2023,MN,6.1,0
CR05,2023,OPQ,16.8,0
CR05,2023,RSU,1.9,0
CR05,2024,A,0.8,0
CR05,2024,BE,8.5,0
CR05,2024,FZ,2.5,0
CR05,2024,GI,16.1,0
CR05,2024,JZ,0.5,0
CR05,2024,KZ,0.4,0
CR05,2024,LZ,0.3,0
CR05,2024,MN,6.3,0
CR05,2024,OPQ,16.8,0
CR05,2024,RSU,2.1,0
CR06,2010,A,0.7,0
CR06,2010,BE,12.4,0
CR06,2010,FZ,4.8,0
CR06,2010,GI,21.8,0
CR06,2010,JZ,1.1,0
CR06,2010,KZ,1.6,0
CR06,2010,LZ,1.2,0
CR06,2010,MN,13.1,0
CR06,2010,OPQ,28.0,0
CR06,2010,RSU,3.7,0
CR06,2011,A,0.7,0
CR06,2011,BE,12.5,0
CR06,2011,FZ,4.8,0
CR06,2011,GI,22.0,0
CR06,2011,JZ,1.0,0
CR06,2011,KZ,1.8,0
CR06,2011,LZ,1.0,0
CR06,2011,MN,13.0,0
CR06,2011,OPQ,28.4,0
CR06,2011,RSU,3.7,0
CR06,2012,A,0.8,0
CR06,2012,BE,12.5,0
CR06,2012,FZ,4.5,0
CR06,2012,GI,22.2,0
CR06,2012,JZ,1.0,0
CR06,2012,KZ,1.5,0
CR06,2012,LZ,0.9,0
CR06,2012,MN,12.9,0
CR06,2012,OPQ,28.9,0
CR06,2012,RSU,3.6,0
CR06,2013,A,0.7,0
CR06,2013,BE,12.4,0
CR06,2013,FZ,3.7,0
CR06,2013,GI,21.6,0
CR06,2013,JZ,0.9,0
CR06,2013,KZ,1.4,0
CR06,2013,LZ,0.9,0
CR06,2013,MN,12.7,0
CR06,2013,OPQ,28.7,0
CR06,2013,RSU,3.3,0
CR06,2014,A,0.6,0
CR06,2014,BE,11.2,0
CR06,2014,FZ,3.2,0
CR06,2014,GI,19.7,0
CR06,2014,JZ,0.8,0
CR06,2014,KZ,1.3,0
CR06,2014,LZ,0.7,0
CR06,2014,MN,12.0,0
CR06,2014,OPQ,26.6,0
CR06,2014,RSU,3.1,0
CR06,2015,A,0.6,0
CR06,2015,BE,11.4,0
CR06,2015,FZ,3.1,0
CR06,2015,GI,19.5,0
CR06,2015,JZ,0.9,0
CR06,2015,KZ,1.6,0
CR06,2015,LZ,0.6,0
CR06,2015,MN,13.2,0
CR06,2015,OPQ,25.3,0
CR06,2015,RSU,3.0,0
CR06,2016,A,0.7,0
CR06,2016,BE,11.3,0
CR06,2016,FZ,3.1,0
CR06,2016,GI,20.7,0
CR06,2016,JZ,1.1,0
CR06,2016,KZ,1.5,0
CR06,2016,LZ,0.6,0
CR06,2016,MN,15.9,0
CR06,2016,OPQ,25.8,0
CR06,2016,RSU,3.0,0
CR06,2017,A,0.7,0
CR06,2017,BE,11.3,0
CR06,2017,FZ,2.9,0
CR06,2017,GI,21.1,0
CR06,2017,JZ,1.1,0
CR06,2017,KZ,1.5,0
CR06,2017,LZ,0.6,0
CR06,2017,MN,16.1,0
CR06,2017,OPQ,26.5,0
CR06,2017,RSU,2.9,0
CR06,2018,A,0.8,0
CR06,2018,BE,11.5,0
