country,sector,source_region,target_region,bootstrap_frequency,promoted_stable_edge
FR,KZ,2813,4420,0.005025125628140704,0
FR,BE,1113,2705,0.005025125628140704,0
FR,FZ,5315,9301,0.005025125628140704,0
FR,MN,2716,8427,0.005025125628140704,0
FR,OQ,3216,5212,0.005025125628140704,0
FR,KZ,8401,9312,0.005025125628140704,0
FR,GI,4425,8428,0.005025125628140704,0
FR,JZ,1104,2702,0.005025125628140704,0
FR,KZ,4409,7515,0.005025125628140704,0
FR,OQ,2708,3212,0.005025125628140704,0
FR,RU,2804,8405,0.005025125628140704,0
FR,RU,2708,7622,0.005025125628140704,0
FR,FZ,5212,5216,0.005025125628140704,0
FR,BE,4408,5315,0.005025125628140704,0
FR,JZ,4421,55,0.005025125628140704,0
FR,KZ,2413,8411,0.005025125628140704,0
FR,LZ,3206,7612,0.005025125628140704,0
FR,MN,5214,8428,0.005025125628140704,0
FR,MN,8401,9306,0.005025125628140704,0
FR,FZ,54,9316,0.005025125628140704,0
